,trial_start,ground_truth,fatigue_score
0,2.018061399459839,8.571428571428571,1.602447906286311
1,6.067240953445435,8.571428571428571,1.5928774479780015
2,10.067484617233276,12.0,2.164721252056632
3,14.11621618270874,12.0,3.1405105842623136
4,18.133476734161377,10.0,2.5278298151577583
5,22.232516765594482,10.0,0.6907721173799084
6,26.248780012130737,7.5,1.6615063551260563
7,30.26507544517517,7.5,2.2138888787996804
8,34.29825806617737,7.5,1.783320833903016
9,38.33048748970032,10.0,1.6298987327572425
10,42.43055081367493,10.0,1.9570149917180462
11,46.51359939575195,7.5,2.5257647451695995
12,50.57972764968872,8.571428571428571,2.505704828012611
13,54.61294460296631,12.0,4.551911558583477
14,58.64516496658325,10.0,2.7286385477341546
15,62.74524545669556,8.571428571428571,2.194338263041645
16,66.81133127212524,7.5,1.6483670853619303
17,70.82759261131287,10.0,4.437498224086489
18,74.86080956459045,8.571428571428571,1.238151525296533
19,78.87707209587097,10.0,3.009494603710964
20,82.90929293632507,7.5,2.541668928352521
21,86.92555499076843,7.5,4.205498303027778
22,90.95976686477661,10.0,2.5103813444257774
23,95.04186606407166,10.0,5.836147002055215
24,99.07508087158203,8.571428571428571,1.084951286149506
25,103.09137034416199,7.5,2.99770337750216
26,107.12355160713196,7.5,1.251669994715654
27,111.13981866836548,10.0,4.535323675295372
28,115.15607857704163,12.0,4.665881524813889
29,119.1728298664093,12.0,3.094242647323087
30,123.22192859649658,12.0,3.162249581567533
31,127.22250151634216,10.0,2.4582379468548066
32,131.27134680747986,12.0,1.2429775653462203
33,135.35475707054138,7.5,2.1511574057807135
34,139.43783974647522,7.5,1.1587586895478945
35,143.5209243297577,10.0,1.556008010200757
36,147.55314922332764,12.0,2.5640858582761585
37,151.62027049064636,10.0,1.7648194358049167
38,155.66944408416748,10.0,2.024767621988969
39,159.68570590019226,7.5,1.2766557382687063
40,163.76878833770752,7.5,1.087413103594542
41,167.78505206108093,7.5,2.1538366980744184
42,171.80131268501282,8.571428571428571,2.035574431518277
43,175.850506067276,12.0,3.1102726148993036
44,179.91873264312744,7.5,2.6540715475051306
45,183.96682167053223,10.0,2.6733663970435573
46,188.01779651641846,10.0,1.5175699734968338
47,192.10008192062378,7.5,6.219035534264639
48,196.16547083854675,10.0,1.2777356802625772
49,200.23160123825073,8.571428571428571,3.0835131548248937
50,204.26481699943542,7.5,2.3727768323632663
51,208.2800807952881,12.0,1.2318055404659136
52,212.3133044242859,12.0,3.728947027218863
53,216.32956051826477,7.5,1.5297504161290356
54,220.36277770996094,10.0,3.230057468303739
55,224.37907814979553,10.0,2.006756085436346
56,228.39535236358643,10.0,2.7631617705556173
57,232.41256046295166,7.5,3.9424082615729747
58,236.44478058815002,12.0,1.4595845801723217
59,240.4779064655304,7.5,2.4386282323483197
60,244.51112914085388,7.5,2.127275241143803
61,248.52698230743408,7.5,3.6200678035986202
62,252.5595760345459,8.571428571428571,2.0740467627314745
63,256.6765613555908,12.0,1.6322334363077695
64,260.70985102653503,10.0,0.835778188758868
65,264.7580268383026,12.0,4.31174054297231
66,268.774288892746,12.0,5.060480485627643
67,272.79055738449097,8.571428571428571,3.367962590886104
68,276.80781173706055,8.571428571428571,1.751530711030536
69,280.85701179504395,8.571428571428571,1.596211147311119
70,284.85629177093506,8.571428571428571,1.1798051973282602
71,288.88950848579407,10.0,1.513318209429927
72,292.9057717323303,10.0,1.0571686248471797
73,296.92203426361084,12.0,1.7676383768548207
74,300.98840522766113,12.0,2.85940888481257
75,305.05503249168396,12.0,2.53745450910012
76,309.07251381874084,10.0,2.311576194326738
77,313.11995458602905,12.0,3.1717656874142635
78,317.1372277736664,7.5,3.8715305839698217
79,321.22029852867126,7.5,1.1354012433750527
80,325.3023829460144,7.5,2.726473620834979
81,329.33560061454773,10.0,4.325123845140375
82,333.3678197860718,8.571428571428571,1.392417082053542
83,337.4509174823761,8.571428571428571,2.308221053293143
84,341.4671654701233,12.0,1.4130941242126451
85,345.48342776298523,8.571428571428571,1.4724969769784668
86,349.51664423942566,8.571428571428571,1.7698559977881203
87,353.53290581703186,12.0,3.2483712789496835
88,357.55018496513367,12.0,4.291362595783072
89,361.566454410553,8.571428571428571,1.928818592946078
90,365.5986614227295,8.571428571428571,2.494056517407441
91,369.6146104335785,8.571428571428571,1.181058417786574
92,373.64731216430664,8.571428571428571,2.548651913218229
93,377.6805465221405,12.0,2.4459783923420906
94,381.7137641906738,8.571428571428571,1.0627683400035126
95,385.72999143600464,8.571428571428571,1.9718809288234045
96,389.79612016677856,8.571428571428571,1.5717150601909649
97,393.8453049659729,8.571428571428571,2.063495382201005
98,397.9283788204193,12.0,3.9377891435077306
99,401.9446532726288,12.0,1.3857915918401793
