TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
313190.2867,-9566.59,3629.11,12607.96,11806.63,9362.56,10498.72,15299.04,15515.52
313190.2907,-9566.93,3630.11,12615.11,11812.64,9370.28,10506.39,15307.62,15523.48
313190.2947,-9571.6,3624.06,12608.53,11806.39,9364.03,10499.19,15301.8,15517.19
313190.2987,-9577.75,3618.53,12599.8,11796.05,9354.12,10490.08,15292.69,15508.46
313190.3027,-9576.13,3622.01,12601.9,11802.44,9355.74,10495.19,15296.56,15511.9
313190.3067,-9571.27,3624.11,12598.23,11805.77,9351.35,10497.91,15295.08,15510.61
313190.3107,-9575.08,3619.58,12595.37,11797.48,9349.87,10490.61,15290.41,15505.6
313190.3147,-9580.95,3613.85,12589.03,11789.61,9344.25,10482.84,15283.97,15499.31
313190.3187,-9578.52,3617.33,12595.94,11795.86,9351.06,10489.32,15291.45,15507.13
313190.3227,-9576.75,3621.44,12601.57,11803.06,9356.17,10496.86,15296.51,15513.18
313190.3267,-9570.6,3627.11,12611.1,11813.69,9363.99,10506.68,15306.28,15521.53
313190.3307,-9568.5,3628.21,12616.4,11817.27,9370.61,10508.3,15312.15,15527.06
313190.3347,-9567.64,3628.25,12613.58,11811.4,9368.13,10502.44,15307.62,15523.34
313190.3385,-9566.93,3627.44,12606.91,11803.2,9360.84,10495.43,15299.61,15515.47
313190.3425,-9563.83,3624.92,12612.44,11806.25,9367.42,10498.19,15305.85,15520.72
313190.3465,-9565.07,3626.16,12616.35,11811.16,9370.85,10503.91,15309.72,15524.68
313190.3505,-9569.5,3629.26,12615.4,11811.5,9369.37,10503.67,15307.76,15522.86
313190.3545,-9569.36,3628.87,12612.63,11806.92,9368.23,10498.43,15303.66,15519.33
313190.3585,-9575.27,3620.91,12597.37,11797.24,9352.88,10490.66,15292.36,15507.46
313190.3625,-9575.18,3620.82,12596.51,11793.09,9352.02,10486.08,15289.74,15504.55
313190.3665,-9576.56,3619.96,12592.89,11788.94,9347.82,10481.74,15285.35,15501.64
313190.3705,-9578.37,3616.14,12589.41,11787.13,9343.43,10479.64,15282.59,15498.5
313190.3745,-9568.93,3624.73,12611.63,11799.1,9368.28,10491.42,15300.32,15516.19
313190.3785,-9564.69,3628.92,12599.99,11795.57,9352.3,10488.65,15292.03,15506.84
313190.3825,-9562.16,3627.25,12595.46,11796.48,9347.15,10489.75,15290.02,15504.36
313190.3865,-9562.87,3632.21,12612.54,11809.83,9366.7,10501.58,15305.95,15520.72
313190.3905,-9568.26,3632.02,12620.83,11815.69,9375.72,10506.77,15312.72,15528.25
313190.3945,-9559.25,3636.07,12610.48,11821.41,9362.22,10514.21,15309.24,15525.3
313190.3985,-9558.92,3635.93,12602.43,11812.26,9355.64,10505.11,15300.8,15516.52
313190.4024,-9567.79,3626.25,12592.75,11789.61,9347.96,10482.84,15288.16,15503.36
313190.4064,-9564.45,3628.87,12610.39,11799.72,9368.23,10492.71,15302.14,15518.43
313190.4104,-9560.06,3631.31,12606.53,11804.73,9361.17,10496.43,15301.13,15516.43
313190.4144,-9562.45,3629.59,12598.42,11796.38,9354.07,10489.27,15292.88,15508.61
313190.4184,-9567.21,3623.87,12591.27,11792.28,9345.44,10485.79,15286.78,15501.88
313190.4224,-9567.55,3624.87,12595.13,11796.19,9348.82,10487.99,15290.17,15504.7
313190.4264,-9565.88,3630.69,12601.95,11804.06,9356.98,10496.52,15297.61,15513.28
313190.4304,-9565.64,3631.78,12600.38,11806.58,9353.83,10499.43,15298.46,15513.33
313190.4344,-9568.02,3630.16,12596.08,11801.2,9348.92,10494.04,15293.27,15509.13
313190.4384,-9568.07,3631.07,12601.33,11801.72,9356.31,10493.28,15295.6,15512.42
313190.4424,-9567.07,3630.69,12598.71,11798.76,9352.73,10491.09,15294.08,15509.18
313190.4464,-9566.83,3627.97,12598.66,11798.05,9352.73,10490.28,15294.08,15508.8
313190.4504,-9566.98,3626.97,12600.8,11801.77,9354.02,10493.28,15296.37,15511.75
313190.4544,-9567.4,3630.35,12606.29,11805.35,9359.55,10497.29,15300.94,15515.95
313190.4584,-9566.31,3631.78,12603.05,11801.86,9356.31,10494.38,15296.75,15511.47
313190.4624,-9564.93,3636.41,12606.81,11804.96,9362.13,10498.19,15302.37,15518.24
313190.4663,-9569.55,3633.88,12606.05,11805.58,9360.89,10498.14,15301.99,15519.05
313190.4703,-9563.4,3632.64,12602.28,11806.87,9356.5,10498.48,15299.56,15515.28
313190.4743,-9552.91,3637.7,12610.82,11812.02,9365.75,10504.82,15306.28,15521.43
313190.4783,-9552.1,3641.42,12607.86,11812.97,9360.6,10505.01,15305.9,15521.48
313190.4823,-9552.67,3645.37,12610.29,11812.45,9362.89,10504.53,15306.86,15521.43
313190.4863,-9552.19,3646.66,12608.91,11808.02,9362.13,10501.1,15304.52,15520.53
313190.4903,-9555.2,3644.56,12598.09,11797.95,9351.25,10490.85,15294.51,15510.66
313190.4943,-9559.92,3640.03,12596.66,11796.67,9350.06,10489.42,15292.84,15509.04
313190.4983,-9559.68,3640.56,12605.86,11810.59,9359.79,10504.2,15303.52,15519.48
313190.5023,-9560.92,3639.03,12601.33,11806.06,9354.07,10500.86,15298.56,15513.85
313190.5063,-9561.49,3639.79,12601.28,11796.62,9355.74,10490.37,15294.51,15510.32
313190.5103,-9561.35,3638.98,12605.48,11801.72,9358.22,10494.81,15297.94,15514.8
313190.5143,-9563.73,3638.32,12603.14,11801.39,9357.12,10494.28,15297.65,15514.18
313190.5183,-9564.97,3636.79,12602.47,11803.1,9355.26,10495.57,15297.13,15512.9
313190.5223,-9558.25,3638.08,12601.76,11800.0,9354.74,10493.42,15294.94,15511.99
313190.5263,-9560.2,3636.5,12600.71,11799.05,9353.78,10493.38,15294.74,15511.66
313190.5301,-9560.2,3632.88,12605.95,11801.43,9360.89,10495.62,15298.99,15515.57
313190.5341,-9557.06,3634.74,12617.4,11815.22,9372.52,10508.49,15310.19,15526.34
313190.5381,-9561.49,3633.59,12608.43,11811.78,9360.98,10503.82,15303.33,15518.48
313190.5421,-9572.84,3622.72,12588.6,11789.32,9342.1,10481.5,15283.35,15498.5
313190.5461,-9572.55,3623.53,12606.77,11806.73,9362.84,10499.29,15301.8,15516.43
313190.5501,-9573.27,3624.54,12613.77,11813.31,9369.42,10505.82,15307.81,15523.05
313190.5541,-9579.14,3621.58,12598.71,11803.49,9351.4,10495.71,15295.79,15511.61
313190.5581,-9576.37,3617.43,12605.38,11807.63,9360.12,10499.96,15301.61,15517.28
313190.5621,-9572.36,3619.96,12614.49,11815.22,9368.56,10508.2,15310.24,15525.01
313190.5661,-9575.84,3616.48,12607.91,11805.68,9361.08,10498.62,15302.23,15517.86
313190.5701,-9572.6,3620.29,12613.44,11810.4,9368.37,10503.44,15308.05,15523.82
313190.5741,-9566.12,3625.82,12641.1,11839.3,9397.32,10532.09,15335.94,15551.76
313190.5781,-9570.89,3622.63,12624.98,11829.43,9377.81,10522.75,15323.02,15537.65
313190.5821,-9571.36,3622.29,12608.43,11807.49,9361.89,10499.29,15305.09,15519.81
313190.5861,-9566.45,3627.4,12616.73,11812.31,9369.71,10505.3,15311.43,15526.25
313190.5901,-9564.26,3627.59,12621.88,11819.32,9374.91,10512.73,15318.59,15531.54
313190.594,-9558.77,3632.98,12632.04,11826.61,9387.21,10519.32,15327.41,15541.65
313190.598,-9560.97,3632.98,12635.52,11831.86,9390.83,10526.61,15330.27,15544.94
313190.602,-9558.06,3635.65,12638.86,11830.95,9394.03,10525.94,15332.61,15546.75
313190.606,-9562.59,3630.16,12629.56,11823.13,9383.16,10517.74,15324.07,15539.31
313190.61,-9567.79,3624.01,12607.72,11807.63,9359.12,10501.48,15304.04,15520.77
313190.614,-9568.55,3627.44,12614.82,11812.31,9368.61,10505.01,15309.96,15526.34
313190.618,-9571.03,3627.73,12615.63,11813.83,9369.09,10505.25,15310.15,15525.15
313190.622,-9567.17,3631.07,12613.97,11811.83,9367.42,10505.87,15308.33,15524.34
313190.626,-9563.54,3632.74,12616.78,11814.31,9371.42,10508.54,15310.62,15526.82
313190.63,-9561.64,3632.93,12624.03,11819.17,9378.96,10511.11,15316.82,15531.97
313190.634,-9559.35,3633.12,12619.74,11813.83,9374.29,10506.01,15311.96,15527.87
313190.638,-9563.3,3625.82,12610.96,11806.68,9363.8,10499.72,15304.95,15520.81
313190.642,-9565.55,3625.06,12611.3,11813.64,9364.37,10507.06,15308.43,15525.44
313190.646,-9567.88,3624.34,12616.54,11820.22,9370.76,10513.45,15313.91,15530.64
313190.65,-9570.36,3624.39,12612.01,11812.64,9366.27,10506.44,15308.57,15523.77
313190.654,-9578.75,3617.72,12606.91,11803.01,9361.89,10496.28,15303.38,15518.24
313190.6578,-9578.99,3614.86,12601.28,11801.82,9355.36,10494.0,15299.04,15514.04
313190.6618,-9578.47,3613.76,12614.54,11810.49,9370.23,10503.48,15310.15,15525.77
313190.6658,-9578.56,3613.09,12617.73,11810.69,9373.52,10503.67,15310.86,15527.63
313190.6698,-9580.66,3611.61,12602.24,11800.58,9356.17,10493.57,15297.8,15513.42
313190.6738,-9587.48,3606.27,12586.12,11784.65,9337.86,10476.97,15281.11,15496.07
313190.6778,-9584.9,3609.71,12587.12,11789.56,9339.33,10481.84,15283.82,15498.97
313190.6818,-9585.72,3607.89,12592.98,11794.23,9346.68,10486.6,15289.31,15504.93
313190.6858,-9582.09,3612.57,12596.75,11799.67,9350.01,10492.9,15294.08,15509.23
313190.6898,-9575.89,3619.0,12605.76,11802.39,9359.89,10493.76,15298.99,15514.71
313190.6938,-9574.89,3620.15,12598.42,11797.48,9352.73,10489.32,15294.51,15510.08
313190.6978,-9579.33,3614.71,12582.97,11788.51,9336.95,10481.41,15281.77,15497.83
313190.7018,-9582.0,3613.66,12582.26,11786.27,9336.52,10479.88,15279.44,15496.21
313190.7058,-9575.65,3619.48,12590.79,11793.04,9345.82,10485.46,15287.26,15503.79
313190.7098,-9567.07,3624.25,12599.37,11804.96,9352.07,10498.48,15297.41,15513.04
313190.7138,-9568.69,3623.53,12599.52,11805.25,9352.3,10498.95,15296.84,15511.94
313190.7178,-9568.31,3625.58,12612.63,11803.1,9368.75,10496.57,15304.66,15519.91
313190.7217,-9574.75,3619.19,12606.67,11802.39,9360.55,10495.9,15300.75,15516.19
313190.7257,-9578.9,3616.62,12588.22,11790.18,9339.38,10482.36,15283.73,15499.98
313190.7297,-9577.18,3616.71,12596.75,11802.63,9348.68,10494.95,15294.89,15510.27
313190.7337,-9579.14,3612.42,12598.8,11798.53,9352.16,10492.71,15294.94,15510.75
313190.7377,-9578.09,3614.57,12609.24,11808.4,9363.75,10502.01,15305.19,15521.48
313190.7417,-9579.76,3614.62,12602.76,11802.1,9356.26,10494.19,15298.51,15515.14
313190.7457,-9580.52,3613.23,12602.95,11796.76,9356.26,10489.56,15296.65,15512.61
313190.7497,-9575.8,3616.71,12609.15,11798.86,9363.46,10491.56,15301.04,15517.62
313190.7537,-9577.47,3616.95,12606.0,11801.2,9360.03,10493.95,15299.61,15516.43
313190.7577,-9578.66,3617.0,12602.33,11797.0,9355.98,10489.7,15295.17,15512.95
313190.7617,-9586.29,3614.95,12599.52,11799.34,9351.25,10493.18,15295.46,15512.13
313190.7657,-9588.34,3611.76,12592.03,11790.75,9343.72,10484.51,15287.93,15503.5
313190.7697,-9578.52,3615.33,12602.28,11798.62,9355.12,10491.56,15296.56,15513.28
313190.7737,-9577.7,3616.29,12608.01,11803.72,9361.89,10497.38,15301.42,15517.9
313190.7777,-9575.23,3620.43,12611.82,11809.73,9364.56,10502.48,15305.14,15521.39
313190.7817,-9572.94,3624.82,12611.06,11808.3,9363.32,10501.1,15304.95,15521.0
313190.7856,-9575.32,3623.25,12604.52,11805.01,9358.26,10497.76,15300.18,15515.71
313190.7896,-9585.81,3617.57,12601.81,11808.4,9354.21,10500.91,15299.27,15515.14
