TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
695181.4109,-960.872,-216.916,-174.765,-236.25,1881.25,-1356.25,632.32,249.28,59.28
695181.4609,-963.312,-209.962,-177.144,183.75,1592.5,-1802.5,633.84,215.84,79.04
695181.5109,-964.044,-215.025,-175.68,-778.75,1933.75,-1767.5,656.64,234.08,56.24
695181.5609,-960.262,-216.245,-174.033,-1688.75,805.0,-1303.75,652.08,232.56,60.8
695181.6109,-962.885,-214.232,-175.68,-1076.25,1968.75,-1470.0,647.52,223.44,71.44
695181.6609,-967.094,-216.428,-178.364,-533.75,595.0,-1268.75,630.8,224.96,57.76
695181.7109,-958.371,-208.254,-173.362,-726.25,1548.75,-1653.75,653.6,214.32,65.36
695181.7609,-960.872,-214.049,-176.412,-1172.5,2170.0,-1575.0,638.4,234.08,45.6
695181.8109,-966.118,-215.696,-173.911,-621.25,1207.5,-1513.75,629.28,238.64,74.48
695181.8609,-962.946,-212.097,-175.497,481.25,1688.75,-2126.25,639.92,241.68,54.72
695181.9109,-965.203,-213.683,-171.044,-140.0,1067.5,-1986.25,629.28,221.92,57.76
695181.9609,-959.957,-216.001,-171.349,-507.5,1793.75,-1750.0,642.96,218.88,62.32
695182.0109,-962.58,-214.842,-171.166,-778.75,2021.25,-1618.75,627.76,238.64,60.8
695182.0609,-962.458,-213.927,-175.436,-813.75,1671.25,-1356.25,636.88,237.12,80.56
695182.1109,-963.922,-211.792,-171.837,-708.75,2222.5,-1295.0,650.56,240.16,68.4
695182.1609,-968.009,-212.524,-174.765,-612.5,2073.75,-1312.5,647.52,232.56,66.88
695182.2109,-958.554,-212.524,-172.874,-1925.0,2161.25,-1435.0,650.56,226.48,72.96
695182.2611,-962.946,-214.476,-171.898,-1522.5,2091.25,-1242.5,633.84,240.16,65.36
695182.3109,-963.495,-212.524,-176.778,385.0,2310.0,-1767.5,642.96,238.64,60.8
695182.3609,-966.606,-213.073,-176.778,8.75,1750.0,-1601.25,636.88,244.72,80.56
695182.4109,-957.883,-213.439,-175.314,-455.0,1522.5,-1750.0,641.44,228.0,83.6
695182.4609,-956.785,-209.779,-176.351,-1863.75,2003.75,-1321.25,632.32,266.0,68.4
695182.5109,-966.911,-214.781,-178.974,-192.5,1977.5,-1522.5,641.44,212.8,54.72
695182.5609,-965.081,-217.404,-175.863,218.75,1128.75,-2056.25,649.04,228.0,60.8
695182.6109,-960.628,-213.622,-170.8,-647.5,787.5,-2030.0,638.4,232.56,48.64
695182.6609,-960.628,-217.953,-171.288,-866.25,1452.5,-1706.25,639.92,237.12,77.52
695182.7109,-959.042,-216.001,-170.068,-140.0,2415.0,-1653.75,621.68,229.52,66.88
695182.7609,-961.543,-216.245,-174.765,-1015.0,2625.0,-1093.75,638.4,221.92,60.8
695182.8109,-963.922,-214.415,-176.839,-1120.0,2196.25,-1295.0,641.44,224.96,59.28
695182.8609,-960.628,-213.195,-173.179,-516.25,1470.0,-1050.0,630.8,231.04,56.24
695182.9109,-960.689,-210.999,-176.656,-603.75,1872.5,-1251.25,649.04,229.52,74.48
695182.9609,-963.251,-211.182,-177.632,-1820.0,1995.0,-1750.0,641.44,241.68,56.24
695183.0109,-960.994,-213.195,-175.375,-1023.75,1225.0,-1513.75,642.96,231.04,60.8
695183.0609,-956.907,-217.587,-173.972,1303.75,1706.25,-2318.75,644.48,256.88,71.44
695183.1109,-965.874,-212.524,-175.314,-26.25,1137.5,-1785.0,646.0,234.08,74.48
695183.1609,-960.018,-213.683,-172.508,-1435.0,1137.5,-1531.25,650.56,221.92,69.92
695183.2109,-956.785,-211.609,-175.619,-1522.5,2196.25,-1111.25,638.4,238.64,66.88
695183.2609,-967.033,-216.855,-177.693,35.0,2896.25,-1583.75,647.52,234.08,62.32
695183.3109,-962.824,-217.282,-175.497,-52.5,1216.25,-2012.5,635.36,231.04,45.6
695183.3609,-964.166,-213.866,-172.63,-883.75,962.5,-1785.0,642.96,234.08,77.52
695183.4109,-960.628,-212.707,-172.142,-341.25,1067.5,-1662.5,629.28,255.36,69.92
695183.4609,-962.214,-216.428,-170.8,-647.5,2073.75,-1347.5,650.56,238.64,68.4
695183.5109,-963.739,-213.622,-174.521,-761.25,2406.25,-1330.0,649.04,218.88,63.84
695183.5609,-965.691,-212.707,-175.436,-1190.0,2056.25,-1338.75,629.28,220.4,54.72
695183.6109,-959.835,-214.842,-175.375,-1050.0,1881.25,-1400.0,641.44,231.04,62.32
695183.6609,-961.36,-213.195,-175.192,-350.0,1872.5,-1286.25,635.36,231.04,63.84
695183.7109,-960.567,-211.853,-173.118,-253.75,1732.5,-1478.75,649.04,223.44,65.36
695183.7609,-964.593,-210.755,-174.704,-787.5,1776.25,-1373.75,646.0,238.64,59.28
695183.8109,-960.75,-214.537,-177.205,-1776.25,1566.25,-2126.25,639.92,217.36,54.72
695183.8609,-963.312,-214.903,-173.85,-227.5,1688.75,-2117.5,646.0,229.52,74.48
695183.9109,-956.907,-215.025,-169.397,376.25,1496.25,-2108.75,639.92,238.64,71.44
695183.9609,-963.007,-217.953,-169.946,-105.0,1872.5,-1863.75,636.88,221.92,77.52
695184.0109,-956.297,-216.428,-169.885,-1268.75,1846.25,-1382.5,644.48,240.16,41.04
695184.0609,-959.286,-211.243,-175.558,-3106.25,2800.0,-997.5,633.84,228.0,66.88
695184.1109,-967.826,-215.513,-181.414,-778.75,2756.25,-1566.25,646.0,220.4,68.4
695184.1609,-959.835,-218.685,-179.523,-315.0,1522.5,-2170.0,639.92,234.08,60.8
695184.2109,-960.811,-212.951,-175.863,-411.25,1120.0,-2065.0,644.48,231.04,68.4
695184.261,-960.567,-215.818,-175.192,-918.75,1968.75,-1907.5,639.92,235.6,54.72
695184.3109,-963.129,-213.805,-174.338,-1566.25,1898.75,-1767.5,653.6,215.84,63.84
695184.3609,-960.994,-215.635,-174.887,-1172.5,1977.5,-1356.25,627.76,235.6,79.04
695184.4109,-961.055,-215.574,-177.022,-551.25,1330.0,-1513.75,649.04,215.84,66.88
695184.4609,-961.116,-215.269,-174.826,-1295.0,1155.0,-1251.25,647.52,217.36,63.84
695184.5109,-962.58,-213.012,-175.375,-533.75,1697.5,-1400.0,624.72,221.92,57.76
695184.5609,-958.493,-211.487,-175.009,-8.75,2030.0,-1715.0,638.4,237.12,80.56
695184.6109,-965.325,-210.511,-177.449,-953.75,1776.25,-1295.0,632.32,228.0,60.8
695184.6609,-963.739,-213.256,-176.168,-463.75,1706.25,-1916.25,642.96,229.52,68.4
695184.7109,-958.005,-216.306,-173.911,-1146.25,1583.75,-1627.5,650.56,238.64,59.28
695184.7609,-958.737,-210.206,-175.497,-840.0,2301.25,-1522.5,635.36,231.04,60.8
695184.8109,-962.031,-215.025,-178.181,-805.0,2248.75,-1207.5,647.52,241.68,79.04
695184.8609,-957.029,-212.89,-180.499,306.25,2721.25,-1312.5,639.92,238.64,60.8
695184.9109,-961.787,-213.378,-181.963,-1277.5,2266.25,-988.75,638.4,229.52,66.88
695184.9609,-967.277,-211.67,-178.12,-1636.25,875.0,-1085.0,655.12,232.56,82.08
695185.0109,-957.761,-215.086,-175.985,778.75,1085.0,-2091.25,653.6,229.52,74.48
695185.0609,-961.543,-214.293,-173.301,-332.5,2082.5,-1872.5,642.96,215.84,79.04
695185.1109,-962.092,-215.574,-175.192,-402.5,2073.75,-1513.75,627.76,237.12,56.24
695185.1609,-961.116,-211.548,-174.887,-525.0,2362.5,-1706.25,641.44,228.0,65.36
695185.211,-961.238,-212.585,-179.706,-778.75,2047.5,-1592.5,627.76,241.68,59.28
695185.2609,-962.946,-213.317,-178.12,-866.25,1898.75,-1470.0,644.48,224.96,72.96
695185.3109,-963.19,-216.489,-179.096,-402.5,1723.75,-1592.5,642.96,238.64,62.32
695185.3609,-960.872,-213.378,-179.401,-105.0,1513.75,-1128.75,626.24,220.4,62.32
695185.4109,-966.667,-209.779,-178.059,-332.5,1951.25,-1645.0,641.44,217.36,65.36
695185.4609,-966.789,-212.402,-177.388,-673.75,1688.75,-1933.75,633.84,226.48,65.36
695185.5109,-961.665,-214.598,-175.863,-822.5,1478.75,-1933.75,655.12,226.48,65.36
695185.5609,-957.7,-212.707,-174.216,-218.75,1933.75,-1846.25,641.44,252.32,60.8
695185.6109,-963.007,-214.354,-177.205,-105.0,1942.5,-1610.0,638.4,214.32,71.44
695185.6609,-961.543,-213.683,-175.985,192.5,2038.75,-1890.0,646.0,238.64,71.44
695185.7109,-959.225,-211.67,-177.754,-1688.75,1802.5,-1163.75,629.28,240.16,60.8
695185.7609,-965.386,-212.585,-179.828,-507.5,1863.75,-1706.25,647.52,232.56,69.92
695185.8109,-959.591,-217.038,-176.229,586.25,1216.25,-1925.0,646.0,243.2,54.72
695185.8609,-960.567,-214.232,-173.85,-437.5,1435.0,-1846.25,646.0,215.84,77.52
695185.9109,-960.384,-214.232,-176.229,-708.75,1653.75,-1583.75,639.92,234.08,72.96
695185.9609,-961.726,-218.136,-173.606,-463.75,2178.75,-1531.25,636.88,220.4,63.84
695186.0109,-963.8,-212.524,-175.741,-595.0,1925.0,-1286.25,641.44,244.72,79.04
695186.0609,-958.798,-212.829,-177.815,-1120.0,2563.75,-1365.0,646.0,237.12,54.72
695186.1109,-966.301,-217.465,-178.303,-1163.75,2135.0,-1277.5,644.48,235.6,69.92
695186.161,-961.787,-212.463,-178.913,-402.5,1093.75,-1408.75,633.84,246.24,68.4
695186.2109,-960.994,-213.134,-175.924,-52.5,1111.25,-1461.25,646.0,237.12,72.96
695186.2609,-962.763,-215.025,-174.155,-350.0,1251.25,-1907.5,655.12,240.16,91.2
695186.3109,-960.933,-209.962,-177.449,-988.75,1435.0,-1968.75,638.4,226.48,63.84
695186.3609,-960.201,-214.842,-174.094,-192.5,1820.0,-1942.5,633.84,223.44,79.04
695186.4109,-956.968,-215.696,-172.935,1207.5,2345.0,-2170.0,630.8,235.6,45.6
695186.4609,-962.092,-215.208,-177.449,-87.5,2336.25,-1373.75,642.96,224.96,72.96
695186.5109,-959.774,-214.903,-173.728,-1190.0,1977.5,-1330.0,655.12,229.52,51.68
695186.5609,-955.626,-211.914,-177.693,-735.0,3088.75,-1268.75,630.8,232.56,53.2
695186.6109,-968.253,-218.014,-182.512,367.5,3351.25,-1653.75,641.44,229.52,77.52
695186.6609,-964.837,-215.208,-180.377,-927.5,1583.75,-1330.0,636.88,241.68,76.0
695186.7109,-958.676,-212.829,-175.985,-236.25,997.5,-1907.5,646.0,226.48,66.88
695186.7609,-962.641,-214.842,-176.534,-700.0,1636.25,-1618.75,644.48,241.68,65.36
695186.8109,-960.567,-217.648,-177.632,-630.0,1618.75,-1303.75,639.92,214.32,63.84
695186.8609,-963.068,-215.269,-178.242,-857.5,2143.75,-1233.75,635.36,229.52,76.0
695186.9109,-962.031,-214.354,-178.669,-997.5,1732.5,-1277.5,632.32,243.2,63.84
695186.9609,-960.872,-213.744,-178.608,-586.25,1846.25,-1522.5,642.96,221.92,71.44
695187.0109,-959.774,-213.866,-181.231,-175.0,1942.5,-1688.75,646.0,238.64,66.88
695187.0609,-964.227,-214.171,-180.011,-455.0,1601.25,-1837.5,627.76,223.44,62.32
695187.1109,-960.384,-216.123,-175.924,-472.5,1653.75,-1443.75,644.48,234.08,76.0
695187.1609,-959.286,-213.012,-177.388,-288.75,1872.5,-1732.5,627.76,221.92,66.88
695187.2109,-958.127,-214.537,-178.425,-1032.5,2056.25,-1846.25,646.0,226.48,59.28
695187.2609,-964.044,-216.306,-178.486,-70.0,2528.75,-2257.5,630.8,240.16,47.12
695187.3109,-955.26,-220.881,-174.826,743.75,2397.5,-1671.25,641.44,218.88,66.88
695187.3609,-958.798,-212.402,-176.9,-857.5,2808.75,-1513.75,641.44,243.2,76.0
695187.4109,-963.739,-214.171,-181.414,-1373.75,2695.0,-1513.75,630.8,232.56,48.64
695187.4609,-954.955,-212.707,-185.379,-411.25,3543.75,-1085.0,646.0,229.52,77.52
695187.5109,-960.14,-216.367,-189.71,-927.5,3736.25,-1172.5,630.8,241.68,63.84
695187.5609,-965.752,-215.635,-186.721,-953.75,2108.75,-1347.5,630.8,221.92,74.48
695187.6109,-957.273,-215.452,-186.66,568.75,1592.5,-2038.75,639.92,224.96,74.48
695187.6609,-959.957,-213.256,-183.244,-367.5,1557.5,-1758.75,633.84,235.6,57.76
695187.7109,-959.408,-215.94,-181.719,-927.5,1680.0,-1356.25,636.88,234.08,82.08
695187.7609,-957.334,-214.598,-185.318,-1286.25,2205.0,-918.75,638.4,250.8,62.32
695187.8109,-958.798,-213.805,-189.039,-1260.0,2108.75,-1146.25,642.96,220.4,77.52
695187.8609,-961.604,-214.171,-187.209,-647.5,1863.75,-1303.75,650.56,235.6,62.32
695187.9109,-960.14,-212.402,-189.71,-778.75,1662.5,-1260.0,629.28,228.0,68.4
695187.9609,-959.408,-213.378,-188.734,-936.25,1627.5,-1303.75,636.88,228.0,72.96
695188.0109,-956.846,-211.792,-188.124,-980.0,1601.25,-1260.0,633.84,238.64,63.84
695188.0609,-956.663,-207.827,-187.758,-1120.0,2231.25,-1032.5,644.48,226.48,74.48
695188.1109,-963.373,-211.182,-191.601,-1041.25,1750.0,-1610.0,641.44,237.12,56.24
695188.1609,-960.872,-212.524,-184.098,-1023.75,743.75,-1277.5,635.36,220.4,63.84
695188.2109,-957.883,-212.097,-184.952,735.0,1303.75,-1828.75,627.76,241.68,86.64
695188.2609,-962.336,-214.415,-186.66,-533.75,1811.25,-1706.25,623.2,234.08,77.52
695188.3109,-963.495,-215.818,-186.416,-1260.0,1662.5,-1286.25,647.52,226.48,76.0
695188.3609,-960.811,-205.875,-183.854,-875.0,1382.5,-953.75,635.36,247.76,60.8
695188.4109,-963.19,-215.147,-188.002,271.25,1540.0,-2100.0,642.96,229.52,71.44
695188.4609,-963.19,-219.966,-183.305,-848.75,183.75,-1566.25,642.96,237.12,71.44
