TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
694404.5109,-960.384,-212.646,-186.416,-665.0,1198.75,-1487.5,644.48,235.6,56.24
694404.5609,-959.103,-215.452,-186.355,-901.25,1435.0,-1688.75,632.32,235.6,50.16
694404.6109,-957.029,-218.441,-183.854,-402.5,1391.25,-1461.25,638.4,234.08,65.36
694404.6609,-961.299,-209.84,-187.331,-507.5,1741.25,-1277.5,655.12,243.2,45.6
694404.7109,-960.14,-212.402,-184.952,-1286.25,1977.5,-1426.25,646.0,232.56,51.68
694404.7609,-962.702,-218.441,-187.331,-857.5,1505.0,-1671.25,642.96,226.48,62.32
694404.8109,-956.419,-215.94,-185.074,-17.5,1697.5,-1225.0,644.48,238.64,44.08
694404.8609,-959.652,-210.206,-188.246,-568.75,2336.25,-1347.5,636.88,215.84,66.88
694404.9109,-966.24,-213.744,-188.917,-1828.75,2152.5,-1846.25,641.44,226.48,41.04
694404.9611,-958.92,-220.942,-183.976,-1968.75,1260.0,-1347.5,630.8,237.12,51.68
694405.0109,-957.212,-214.11,-183.427,1960.0,2738.75,-2152.5,638.4,221.92,68.4
694405.0609,-962.824,-213.683,-187.575,-463.75,2222.5,-962.5,638.4,231.04,47.12
694405.1109,-961.726,-211.365,-186.416,-586.25,2240.0,-1522.5,646.0,232.56,65.36
694405.1609,-957.883,-216.916,-190.259,-1933.75,2257.5,-1303.75,623.2,247.76,47.12
694405.2109,-962.702,-214.476,-193.004,-315.0,2292.5,-1627.5,653.6,214.32,48.64
694405.2609,-959.713,-213.683,-189.161,1067.5,1995.0,-1820.0,644.48,241.68,68.4
694405.3109,-958.676,-207.644,-187.209,-700.0,1863.75,-1846.25,633.84,218.88,59.28
694405.3609,-962.946,-213.927,-187.27,-1303.75,2012.5,-1776.25,652.08,231.04,60.8
694405.4109,-960.14,-214.537,-186.599,945.0,2388.75,-2100.0,642.96,226.48,48.64
694405.4609,-962.336,-216.123,-188.246,-1181.25,1575.0,-1268.75,632.32,241.68,54.72
694405.5109,-959.591,-212.585,-188.978,-1680.0,1968.75,-1636.25,626.24,238.64,59.28
694405.5609,-958.066,-214.11,-190.259,-1356.25,2467.5,-1785.0,629.28,226.48,48.64
694405.6109,-961.482,-214.232,-191.235,-315.0,2546.25,-1793.75,636.88,241.68,56.24
694405.6609,-957.029,-212.463,-190.503,-420.0,2677.5,-1426.25,621.68,229.52,44.08
694405.7109,-961.848,-211.975,-193.553,-2651.25,2441.25,-1295.0,649.04,224.96,59.28
694405.7609,-959.408,-212.219,-190.32,-1610.0,1496.25,-1286.25,644.48,246.24,48.64
694405.8109,-954.589,-221.613,-188.734,796.25,2065.0,-1531.25,641.44,221.92,60.8
694405.8609,-959.164,-211.731,-196.481,-1610.0,2117.5,-805.0,644.48,228.0,60.8
694405.911,-960.872,-216.55,-197.579,-822.5,2467.5,-1102.5,638.4,224.96,57.76
694405.9609,-957.944,-211.853,-197.335,-1671.25,2065.0,-735.0,655.12,224.96,56.24
694406.0109,-959.774,-206.241,-199.714,-560.0,2187.5,-927.5,630.8,231.04,59.28
694406.0609,-961.543,-215.696,-197.579,35.0,1295.0,-1207.5,649.04,228.0,60.8
694406.1114,-959.042,-207.278,-195.932,-1050.0,1295.0,-1286.25,635.36,238.64,51.68
694406.1609,-958.493,-210.511,-197.152,-586.25,1697.5,-1872.5,642.96,231.04,76.0
